SEDE,INDIRIZZO,CITTA,PROVINCIA,LONGITUDINE,LATITUDINE
STAZIONE DI MOLINELLA,VIA PROVINCIALE CIRCONVALLAZIONE 99,MOLINELLA,BO,44.6272342,11.6684811
COMUNE DI MOLINELLA,PIAZZA ANSELMO MARTONI 1,MOLINELLA,BO,44.6205074,11.6704923
BIBLIOTECA CABINA TELEFONICA,VIA SELVA 52,SELVA MALVEZZI,BO,44.556450,11.6276539
VILLAGE TENNIS CLUB,VIA ANDREA COSTA 2,MOLINELLA,BO,44.6202775,11.6711817
I.I.S GIORDANO BRUNO - IPIA FIORAVANTI,PIAZZA MASSARENTI 1,MOLINELLA,BO,44.6197048,11.6691110
CINEMA TEATRO MASSARENTI,CORSO GIUSEPPE MAZZINI 85,MOLINELLA,BO,44.6199300,11.6682098
PALESTRA SCOLASTICA VIA ANDREA COSTA,VIA ANDREA COSTA 4,MOLINELLA,BO,44.6201908,11.6718367
PISCINA COMUNALE MOLINELLA A.S.D. JUMP,VIA ANDREA COSTA 6,MOLINELLA,BO,44.6201260,11.6724365
STADIO COMUNALE AUGUSTO MAGLI,VIA PAOLO FABBRI 1,MOLINELLA,BO,44.6196106,11.6711356
SCUOLA PRIMARIA E SECONDARIA DI PRIMO GRADO,VIALE EDMONDO DE AMICIS 1,MOLINELLA,BO,44.6179515,11.6712509
PALAZZATTO DELLO SPORT,VIALE LIBERTÀ 19,MOLINELLA,BO,44.6177529,11.6724794
PUBBLICA ASSISTENZA CITTÀ DI BOLOGNA,VIA AGUSTO MURRI 1,MOLINELLA,BO,44.6212581,11.6650540
POLO SANITARIO MOLINELLA,VIA PROVINCIALE CIRCONVALLAZIONE 47,MOLINELLA,BO,44.6209984,11.6648162
I.I.S GIORDANO BRUNO - ITC EFREM NOBILI,STRADELLO CARABINIERI 2,MOLINELLA,BO,44.6248899,11.6694550
SOCIETÀ DOLCE,VIA AUGUSTO MURRI 3,MOLINELLA,BO,44.6212615,11.6647204
TACCHIFICIO DI MOLINELLA,VIA CIRCONVALLAZIONE SUD 30,MOLINELLA,BO,44.6165138,11.6707312
WEBASTO TERMO & COMFORT ITALY,VIA EFREM NOBILI 2,MOLINELLA,BO,44.6122850,11.6671181
PALAZZO DELLE BISCIE - APPEARS SRL,VIA PROVINCIALE SUPERIORE 25,MOLINELLA,BO,44.6165174,11.6574888
OVAKO MOLINELLA SPA,VIA FILIPPO TURATI 11,MOLINELLA,BO,44.6091234,11.6637262
