NOMEASSOCIAZIONE,INDIRIZZO,CAP,CITTA,PROV,ANNO COSTITUZIONE,ATTIVITA
ACME ITALIA, VIA SCHIASSI  24,40062,MOLINELLA,(BO),2007,MODELLISMO SPAZIALE - COSTRUZIONE E LANCIO DI RAZZOMODELLI - EDUCAZIONE SCIENTIFICA
A.I.K.A.F. ASS. ITALIANA KARATE FUDOKAN, VIA MASI 4,40062,MOLINELLA,(BO),1995,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE
A.S.D. ARCIERI CORTE DEL POGGIO, VIA MARTIRI PIAZZA 8 AGOSTO 54,40062,MOLINELLA,(BO),1989,SVILUPPO DIFFUSIONE E PROPAGAZIONE DEL TIRO CON L ARCO IN TUTTE LE SUE COMPONENTI SPORTIVE AGONISTICHE AMATORIALI DIDATTICHE
A.S.D. BASKIN BROTHERS, VIA FRATELLI ROSSELLI 4,40062,MOLINELLA,(BO),2016,SVILUPPO E DIFFUSIONE DI ATTIVITA MOTORIE E SPORTIVE DILETTANTISTICHE INTEGRATE SVOLTE INSIEME DA PERSONE CON DISABILITA
A.S.D. EASY DANCE, VIA MONTENERO 2,40062,MOLINELLA,(BO),2008,PROMOZIONE E DIFFUZIONE DANZA SPORTIVA
A.S.D. SAN MARTINO IN ARGINE,VIA RISORGIMENTO 9,40062,SAN MARTINO IN ARGINE,(BO),2010,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
A.S.D. SERENDIPITY, VIA LUIGI PIRANDELLO 3/2,40062,MOLINELLA,(BO),2016,DIFFONDERE LA CONOSCENZA DELLO SPORT E DELLA CULTURA SPORTIVA
ASSOCIAZIONE CAVALIERI DELLA BORRA,MARMORTA VIA FIUME VECCHIO 261/1,40062,MARMORTA,(BO),2008,EDUCAZIONE DIDATTICA ED ATTIVITA MOTORIA
ASSOCIAZIONE CORTE DEL POGGIO,  VIA PROVINCIALE CIRCONVALLAZIONE 56,40062,MOLINELLA,(BO),2003,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE
ASSOCIAZIONE CULTURALE SPORTIVA MOLINELLA FAST & FURIOUS R/C, VIA PROVINCIALE CIRCONVALLAZIONE 132/5,40062,MOLINELLA,(BO),2004,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
A.D.S. HONBU DOJO, VIA ANDREA COSTA 78/1,40062,MOLINELLA,(BO),2010,SVILUPPO E DIFFUSIONE DEL KARATE E DISCIPLINE AFFINI INTESA COME MEZZO DI FORMAZIONE PSICO - FISICA E MORALE
A.D.S. STUDIO PILATES CONTROLOGY, VIA PONDRELLI 22/1,40062,MOLINELLA,(BO),2013,PROMOZIONE E PRATICA DEL PILATES E EDUCAZIONE POSTURALE E DIVULGAZIONE E COMPRENSIONE DELL IMPORTANZA DELLA POSTURA
ASSOCIAZIONE DILETTANTISTICA DANZA SPORTIVA TEAM DIABLO, VIA DELL ARTIGIANATO 30,40062,MOLINELLA,(BO),1991,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
A.S. MOLINELLA NUOTO, VIA ANDREA COSTA 4,40062,MOLINELLA,(BO),1995,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE
A.S.D. PARACADUTISMO MOLI DZ, VIA MADONNA BOTTARDA  1,40062,MOLINELLA,(BO),2012,SPORT CULTURA E TURISMO
ASSOCIAZIONE POLISPORTIVA MOLINELLA, VIA MAZZINI 2,40062,MOLINELLA,(BO),1994,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
BLUAPNEA ASD, VIA ANDREA COSTA 6,40062,MOLINELLA,(BO),2011,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
CIRCOLO SPORTIVO UISP LA RUOTA, VIA MAZZINI 200,40062,MOLINELLA,(BO),1997,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - ATTIVITA EDUCATIVE
C.S.B. MOLINELLA, VIA MAZZINI 93,40062,MOLINELLA,(BO),1992,SPORT CULTURA E TURISMO
FALCHI CORAZZATI ASD,VIA FUCINI 8,40062,SAN PIETRO CAPOFIUME,(BO),2010,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
FUTSAL MOLINELLA 2018 A.S.D.,MOLINELA VIA TESTONI 7,40062,MOLINELLA,(BO),2019,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA’ RICREATIVE - SPORT CULTURA E TURISMO
GAS RACING TEAM,VIA DEL TEATRO 2,40062,SAN PIETRO CAPOFIUME,(BO),2010,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
I  FERRARISTI  DI MOLINELLA, VIA MARZOCCHI 17,40062,MOLINELLA,(BO),2022,EDUCAZIONE ALLA PRATICA SPORTIVA E ATTIVITA RICREATIVE - SPORT CULTURA E TURISMO
